FY_CODE,PARENT_ORG_CODE,ORG_CODE,ORG_NAME,TEACHER_COUNT,LICENSED_PCT,CORE_COUNT,HQ_PCT,STAFF_TEASTU_PCT
2004,00440000,00440010,Brookfield,42.9,97.67,39.7,100,16.7
2004,00440000,00440015,Goddard,10.1,95.05,9.5,94.74,28.7
2004,00440000,00440017,"John F Kennedy",42,92.62,39.4,92.39,13.7
2004,00440000,00440023,"Edgar B Davis",60.6,93.07,53.8,94.05,15.5
2004,00440000,00440030,Franklin,22.8,99.12,20.9,100,13.9
2004,00440000,00440035,Gilmore,27.1,83.76,25.4,82.68,12.6
2004,00440000,00440045,Hancock,43.4,90.78,40.7,92.63,16
2004,00440000,00440050,"Howard Center",11,90.91,9,88.89,11
2004,00440000,00440055,Huntington,28.7,100,26.3,100,13.3
2004,00440000,00440065,"Louis F Angelo Elem",51.4,90.27,41.3,87.89,13.5
2004,00440000,00440078,"Oscar F Raymond",51.9,98.46,41.3,100,11.8
2004,00440000,00440080,"B B Russell",9.9,65.66,9.9,65.66,13.7
2004,00440000,00440095,"Eldon B. Keith Center",30.6,95.75,28,96.07,14.2
2004,00440000,00440100,Whitman,18.4,95.11,15.9,94.97,11
2004,00440000,00440110,Downey,47.4,95.78,39.1,94.88,12.3
2004,00440000,00440120,"Joseph F Plouffe Elem",51.5,100,40.1,100,14.8
2004,00440000,00440400,Ithaka/Lincoln,4.7,78.72,4.5,77.78,10.2
2004,00440000,00440405,"East Junior High",59.5,81.18,50.1,80.04,11.4
2004,00440000,00440410,"North Junior High",42.5,85.65,34.1,88.27,16.6
2004,00440000,00440415,"South Junior High",43.5,81.61,36.2,77.9,15.7
2004,00440000,00440420,"West Junior High",46.3,80.13,38.6,79.27,15.7
2004,00440000,00440505,"Brockton High",277.2,89.36,229.9,89.13,15.3
2004,00450000,00450000,Brookfield,27.4,92.7,23.4,91.45,11.1
2004,00450000,00450005,"Brookfield Elementary",27.4,92.7,23.4,91.45,11.1
2004,00460000,00460000,Brookline,511.87,95.7,447.02,94.91,11.8
2004,00460000,00460005,"Edith C Baker",47.65,97.38,39.45,97.85,13.1
2004,00460000,00460015,"Edward Devotion",59.55,96.64,53.65,98.14,11.7
2004,00460000,00460020,"Michael Driscoll",33.95,98.67,31.1,96.14,12
2004,00460000,00460025,Heath,33.5,87.76,29.7,87.54,11.9
2004,00460000,00460030,Lawrence,39.5,97.47,35.6,97.19,11
2004,00460000,00460035,"William H Lincoln",40.61,95.3,37.31,96.22,11.4
2004,00460000,00460040,Pierce,48.93,99.59,44.83,99.55,11.1
2004,00460000,00460045,"John D Runkle",36.55,97.95,33.15,97.74,12.6
2004,00460000,00460060,"The Lynch Center",8.03,100,4.83,100,8.2
2004,00460000,00460505,"Brookline High",163.6,93.67,137.4,90.79,11.8
2004,00480000,00480000,Burlington,273.55,99.45,231,99.78,12.7
